Date,Amount,Account Number,,Transaction Type,Transaction Details,Category,Merchant Name,Processed On
24 Apr 26,-149.36,512847391,,AUTOMATIC DRAWING,ORIGIN ENERGY 87849254130,Uncategorised,Origin Energy,26 Apr 26
24 Apr 26,-49.38,512847391,,MISCELLANEOUS DEBIT,V8213 24/04 MENULOG SYDNEY 22566061652,Restaurants,,24 Apr 26
23 Apr 26,-48.0,512847391,,EFTPOS DEBIT,V8213 23/04 PRICELINE PHARMACY CARNEGIE 26524406860,Personal care,,23 Apr 26
22 Apr 26,-114.01,512847391,,EFTPOS DEBIT,V8213 22/04 BUNNINGS WAREHOUSE PORT MELBOURNE 94679687709,Other shopping,Bunnings Warehouse,23 Apr 26
22 Apr 26,-58.56,512847391,,EFTPOS DEBIT,V8213 22/04 BWS LIQUOR CAULFIELD 60278817767,Alcohol,Bws Liquor,22 Apr 26
22 Apr 26,-47.72,512847391,,EFTPOS DEBIT,V8213 22/04 HOYTS CINEMAS CHADSTONE 29472846476,Uncategorised,Hoyts Cinemas,23 Apr 26
21 Apr 26,-29.99,512847391,,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 70179183907,Subscriptions,Adobe Creative Cloud,21 Apr 26
21 Apr 26,-108.81,512847391,,EFTPOS DEBIT,V8213 21/04 BP CONNECT CHADSTONE 80991904161,Fuel,Bp Connect,22 Apr 26
20 Apr 26,-57.1,512847391,,EFTPOS DEBIT,V8213 20/04 AMPOL FOODARY CLAYTON 65595773405,Fuel,Ampol Foodary,20 Apr 26
20 Apr 26,-55.4,512847391,,EFTPOS DEBIT,V8213 20/04 PRICELINE PHARMACY CARNEGIE 70911802519,Personal care,,21 Apr 26
20 Apr 26,-42.91,512847391,,EFTPOS DEBIT,V8213 20/04 READINGS BOOKS CARLTON 25045854374,Uncategorised,Readings Books,20 Apr 26
19 Apr 26,-29.39,512847391,,EFTPOS DEBIT,V8213 19/04 BWS LIQUOR CAULFIELD 40254703591,Alcohol,Bws Liquor,20 Apr 26
18 Apr 26,-65.0,512847391,,AUTOMATIC DRAWING,TELSTRA CORPORATION 35389514931,Uncategorised,Telstra Corporation,18 Apr 26
18 Apr 26,-277.53,512847391,,EFTPOS DEBIT,V8213 18/04 SMILE DENTAL GROUP ARMADALE 63808409528,Medical,Smile Dental Group,20 Apr 26
18 Apr 26,-95.96,512847391,,EFTPOS DEBIT,V8213 18/04 BP CONNECT CHADSTONE 62379285213,Fuel,Bp Connect,18 Apr 26
18 Apr 26,-100.0,512847391,,ATM DEBIT,ATM WDL CBD MELBOURNE 99242671656,Uncategorised,,18 Apr 26
17 Apr 26,-27.51,512847391,,EFTPOS DEBIT,V8213 17/04 BWS LIQUOR CAULFIELD 66987144673,Alcohol,Bws Liquor,17 Apr 26
17 Apr 26,-20.88,512847391,,EFTPOS DEBIT,V8213 17/04 THE GRINDER CAFE PRAHRAN 16102867396,Cafe & coffee,The Grinder Cafe,19 Apr 26
17 Apr 26,-115.92,512847391,,EFTPOS DEBIT,V8213 17/04 KMART CHADSTONE 12625246820,Other shopping,Kmart,19 Apr 26
17 Apr 26,-21.07,512847391,,MISCELLANEOUS DEBIT,V8213 17/04 DIDI MOBILITY MELBOURNE 71793984791,Transport,Didi Mobility,17 Apr 26
17 Apr 26,-1450.0,512847391,,EFTPOS DEBIT,V8213 17/04 MELBOURNE DENTAL SPEC EAST MELBOURNE 54301088421,Medical,Melbourne Dental Spec,18 Apr 26
17 Apr 26,-200.0,512847391,,TRANSFER DEBIT,Internet Transfer To RENT SHARE 98467585664,Transfers out,,17 Apr 26
16 Apr 26,-6.76,512847391,,EFTPOS DEBIT,V8213 16/04 COKE VENDING MACHINE MELBOURNE 50746770471,Uncategorised,Coke Vending Machine,16 Apr 26
16 Apr 26,-37.77,512847391,,EFTPOS DEBIT,V8213 16/04 KMART CHADSTONE 33989825683,Other shopping,Kmart,16 Apr 26
16 Apr 26,-99.07,512847391,,EFTPOS DEBIT,V8213 16/04 SHELL COLES EXPRESS HAWTHORN 17049804017,Fuel,Shell Coles Express,17 Apr 26
16 Apr 26,-159.43,512847391,,EFTPOS DEBIT,V8213 16/04 UNIQLO AUSTRALIA MELBOURNE 78768449984,Clothing & accessories,Uniqlo Australia,16 Apr 26
15 Apr 26,-100.0,512847391,,ATM DEBIT,ATM WDL CARNEGIE 47505093010,Uncategorised,,16 Apr 26
15 Apr 26,-81.09,512847391,,EFTPOS DEBIT,V8213 15/04 COTTON ON CHADSTONE 58113470939,Clothing & accessories,,15 Apr 26
15 Apr 26,-24.44,512847391,,EFTPOS DEBIT,V8213 15/04 IGA XPRESS MURRUMBEENA 98936204683,Groceries,Iga Xpress,15 Apr 26
15 Apr 26,-32.5,512847391,,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 16043710727,Subscriptions,Anthropic Claude.ai,17 Apr 26
14 Apr 26,-16.08,512847391,,EFTPOS DEBIT,V8213 14/04 PRICELINE PHARMACY CARNEGIE 52915715952,Personal care,Priceline Pharmacy,16 Apr 26
14 Apr 26,-112.66,512847391,,AUTOMATIC DRAWING,SOUTH EAST WATER 77460298732,Uncategorised,South East Water,14 Apr 26
14 Apr 26,-65.81,512847391,,EFTPOS DEBIT,V8213 14/04 COLES SUPERMARKET MALVERN EAST 11715524503,Groceries,Coles Supermarket,14 Apr 26
13 Apr 26,-48.83,512847391,,EFTPOS DEBIT,V8213 13/04 ALDI STORES OAKLEIGH 37962705629,Groceries,Aldi Stores,15 Apr 26
13 Apr 26,-120.19,512847391,,EFTPOS DEBIT,V8213 13/04 WOOLWORTHS 1234 CARNEGIE 53016175290,Groceries,Woolworths,14 Apr 26
13 Apr 26,-750.0,512847391,,TRANSFER DEBIT,Internet Transfer To RENT SHARE 23439024198,Transfers out,,15 Apr 26
13 Apr 26,-50.78,512847391,,EFTPOS DEBIT,V8213 13/04 KMART CHADSTONE 52332186011,Other shopping,Kmart,14 Apr 26
13 Apr 26,-108.35,512847391,,EFTPOS DEBIT,V8213 13/04 SHELL COLES EXPRESS HAWTHORN 98529757226,Fuel,Shell Coles Express,13 Apr 26
12 Apr 26,-92.72,512847391,,EFTPOS DEBIT,V8213 12/04 COTTON ON CHADSTONE 42947296224,Clothing & accessories,,12 Apr 26
12 Apr 26,-9.99,512847391,,AUTOMATIC DRAWING,PRIME VIDE* PRIMEVIDEO 16772389060,Subscriptions,Prime Primevideo,13 Apr 26
11 Apr 26,-80.83,512847391,,EFTPOS DEBIT,V8213 11/04 KMART CHADSTONE 73088479111,Other shopping,Kmart,11 Apr 26
11 Apr 26,-42.78,512847391,,EFTPOS DEBIT,V8213 11/04 ALDI STORES OAKLEIGH 60922241276,Groceries,Aldi Stores,11 Apr 26
11 Apr 26,-134.53,512847391,,EFTPOS DEBIT,V8213 11/04 WOOLWORTHS 1234 CARNEGIE 24516736921,Groceries,,11 Apr 26
10 Apr 26,-14.42,512847391,,EFTPOS DEBIT,V8213 10/04 THE GRINDER CAFE PRAHRAN 52829043618,Cafe & coffee,The Grinder Cafe,10 Apr 26
09 Apr 26,-92.15,512847391,,AUTOMATIC DRAWING,AGL SALES 32402309277,Uncategorised,Agl Sales,09 Apr 26
09 Apr 26,-92.84,512847391,,MISCELLANEOUS DEBIT,V8213 09/04 THE ICONIC SYDNEY 26915241868,Clothing & accessories,The Iconic,10 Apr 26
09 Apr 26,-25.03,512847391,,EFTPOS DEBIT,V8213 09/04 IGA XPRESS MURRUMBEENA 11253601373,Groceries,Iga Xpress,10 Apr 26
09 Apr 26,-116.31,512847391,,MISCELLANEOUS DEBIT,V8213 09/04 THE ICONIC SYDNEY 34883916694,Clothing & accessories,The Iconic,09 Apr 26
08 Apr 26,-3.81,512847391,,EFTPOS DEBIT,V8213 08/04 COKE VENDING MACHINE MELBOURNE 63591026675,Uncategorised,Coke Vending Machine,08 Apr 26
07 Apr 26,-13.99,512847391,,AUTOMATIC DRAWING,SPOTIFY AUSTRALIA 37140875643,Subscriptions,Spotify Australia,08 Apr 26
07 Apr 26,-18.84,512847391,,EFTPOS DEBIT,V8213 07/04 IGA XPRESS MURRUMBEENA 18108489917,Groceries,Iga Xpress,09 Apr 26
07 Apr 26,-90.4,512847391,,EFTPOS DEBIT,V8213 07/04 KMART CHADSTONE 74375535410,Other shopping,Kmart,08 Apr 26
05 Apr 26,-24.95,512847391,,AUTOMATIC DRAWING,GOODLIFE HEALTH CLUBS 67766013783,Gym & fitness,Goodlife Health Clubs,06 Apr 26
05 Apr 26,-470.72,512847391,,EFTPOS DEBIT,V8213 05/04 SMILE DENTAL GROUP ARMADALE 62482435468,Medical,Smile Dental Group,07 Apr 26
04 Apr 26,-86.3,512847391,,EFTPOS DEBIT,V8213 04/04 DAN MURPHYS GLEN IRIS 98672072270,Alcohol,Dan Murphys,04 Apr 26
04 Apr 26,-216.42,512847391,,EFTPOS DEBIT,V8213 04/04 BUNNINGS WAREHOUSE PORT MELBOURNE 62709695755,Other shopping,Bunnings Warehouse,04 Apr 26
04 Apr 26,-114.39,512847391,,EFTPOS DEBIT,V8213 04/04 COLES SUPERMARKET MALVERN EAST 59509802450,Groceries,Coles Supermarket,05 Apr 26
04 Apr 26,-142.86,512847391,,EFTPOS DEBIT,V8213 04/04 JB HI-FI CHADSTONE 48322185506,Other shopping,Jb Hi-fi,06 Apr 26
03 Apr 26,-500.0,512847391,,TRANSFER DEBIT,Internet Transfer To RENT SHARE 90661626665,Transfers out,,04 Apr 26
03 Apr 26,-54.19,512847391,,EFTPOS DEBIT,V8213 03/04 JB HI-FI CHADSTONE 20749218198,Other shopping,Jb Hi-fi,04 Apr 26
03 Apr 26,-25.99,512847391,,AUTOMATIC DRAWING,NETFLIX.COM 41269134508,Subscriptions,Netflix.com,04 Apr 26
02 Apr 26,-187.17,512847391,,AUTOMATIC DRAWING,MEDIBANK PRIVATE 63112282255,Uncategorised,Medibank Private,02 Apr 26
02 Apr 26,-39.81,512847391,,EFTPOS DEBIT,V8213 02/04 KMART CHADSTONE 48794333634,Other shopping,Kmart,03 Apr 26
02 Apr 26,-24.89,512847391,,EFTPOS DEBIT,V8213 02/04 PTV MYKI TOPUP MELBOURNE 54724864410,Transport,Ptv Myki Topup,02 Apr 26
02 Apr 26,-9.64,512847391,,EFTPOS DEBIT,V8213 02/04 THE GRINDER CAFE PRAHRAN 53285660082,Cafe & coffee,The Grinder Cafe,02 Apr 26
01 Apr 26,-2.5,512847391,,FEES,ATM OPERATOR FEE,Fees,,01 Apr 26
01 Apr 26,-2343.3,512847391,,AUTOMATIC DRAWING,REAL ESTATE TRUST ACCT 74587088079,Uncategorised,Real Estate Trust Acct,01 Apr 26
30 Mar 26,-127.18,512847391,,MISCELLANEOUS DEBIT,V8213 30/03 THE ICONIC SYDNEY 20657502374,Clothing & accessories,The Iconic,31 Mar 26
30 Mar 26,-79.37,512847391,,EFTPOS DEBIT,V8213 30/03 WOOLWORTHS 1234 CARNEGIE 30417449837,Groceries,Woolworths,30 Mar 26
29 Mar 26,-92.52,512847391,,EFTPOS DEBIT,V8213 29/03 ALDI STORES OAKLEIGH 90404874102,Groceries,Aldi Stores,31 Mar 26
29 Mar 26,-136.87,512847391,,EFTPOS DEBIT,V8213 29/03 OFFICEWORKS SOUTH MELBOURNE 37180338344,Other shopping,Officeworks,31 Mar 26
28 Mar 26,-91.06,512847391,,EFTPOS DEBIT,V8213 28/03 DAN MURPHYS GLEN IRIS 89710797058,Alcohol,,28 Mar 26
28 Mar 26,-63.32,512847391,,EFTPOS DEBIT,V8213 28/03 DAN MURPHYS GLEN IRIS 62863762414,Alcohol,Dan Murphys,29 Mar 26
28 Mar 26,-16.24,512847391,,MISCELLANEOUS DEBIT,V8213 28/03 DIDI MOBILITY MELBOURNE 61112796005,Transport,,28 Mar 26
27 Mar 26,-5.59,512847391,,EFTPOS DEBIT,V8213 27/03 COKE VENDING MACHINE MELBOURNE 25166904840,Uncategorised,Coke Vending Machine,27 Mar 26
26 Mar 26,-4.89,512847391,,EFTPOS DEBIT,V8213 26/03 PATRICIA COFFEE MELBOURNE 45752608175,Cafe & coffee,Patricia Coffee,26 Mar 26
25 Mar 26,-501.32,512847391,,EFTPOS DEBIT,V8213 25/03 JB HI-FI CHADSTONE 88234034810,Other shopping,Jb Hi-fi,26 Mar 26
25 Mar 26,-116.86,512847391,,EFTPOS DEBIT,V8213 25/03 UNIQLO AUSTRALIA MELBOURNE 36478924250,Clothing & accessories,Uniqlo Australia,25 Mar 26
24 Mar 26,-145.75,512847391,,AUTOMATIC DRAWING,ORIGIN ENERGY 81686162452,Uncategorised,Origin Energy,24 Mar 26
24 Mar 26,-87.01,512847391,,EFTPOS DEBIT,V8213 24/03 COLES SUPERMARKET MALVERN EAST 87733748981,Groceries,,25 Mar 26
24 Mar 26,-56.35,512847391,,EFTPOS DEBIT,V8213 24/03 WOOLWORTHS 1234 CARNEGIE 15452673237,Groceries,Woolworths,24 Mar 26
23 Mar 26,-122.88,512847391,,EFTPOS DEBIT,V8213 23/03 WOOLWORTHS 1234 CARNEGIE 80829959279,Groceries,Woolworths,25 Mar 26
22 Mar 26,-52.39,512847391,,EFTPOS DEBIT,V8213 22/03 BARBER LANE WINDSOR 66300449225,Personal care,Barber Lane,23 Mar 26
22 Mar 26,-54.39,512847391,,MISCELLANEOUS DEBIT,V8213 22/03 MENULOG SYDNEY 71569381252,Restaurants,Menulog,22 Mar 26
22 Mar 26,-47.89,512847391,,EFTPOS DEBIT,V8213 22/03 PRICELINE PHARMACY CARNEGIE 70845612925,Personal care,Priceline Pharmacy,22 Mar 26
21 Mar 26,-200.0,512847391,,TRANSFER DEBIT,Internet Transfer To J SACHS OFFSET 36902803814,Transfers out,,22 Mar 26
21 Mar 26,-29.99,512847391,,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 20121346026,Subscriptions,Adobe Creative Cloud,22 Mar 26
21 Mar 26,-115.52,512847391,,EFTPOS DEBIT,V8213 21/03 TONKA RESTAURANT MELBOURNE 26632734011,Restaurants,,23 Mar 26
20 Mar 26,-36.2,512847391,,MISCELLANEOUS DEBIT,V8213 20/03 UBER *EATS SYDNEY 21847290755,Restaurants,Uber,22 Mar 26
19 Mar 26,-26.74,512847391,,EFTPOS DEBIT,V8213 19/03 HOYTS CINEMAS CHADSTONE 98620441982,Uncategorised,Hoyts Cinemas,20 Mar 26
19 Mar 26,-8.37,512847391,,EFTPOS DEBIT,V8213 19/03 THE GRINDER CAFE PRAHRAN 38201341249,Cafe & coffee,The Grinder Cafe,21 Mar 26
18 Mar 26,-13.34,512847391,,EFTPOS DEBIT,V8213 18/03 SEVEN SEEDS COFFEE CARLTON 36044460855,Cafe & coffee,Seven Seeds Coffee,18 Mar 26
18 Mar 26,-65.0,512847391,,AUTOMATIC DRAWING,TELSTRA CORPORATION 88660276767,Uncategorised,Telstra Corporation,19 Mar 26
18 Mar 26,-63.39,512847391,,EFTPOS DEBIT,V8213 18/03 READINGS BOOKS CARLTON 98872780767,Uncategorised,Readings Books,19 Mar 26
17 Mar 26,-323.17,512847391,,EFTPOS DEBIT,V8213 17/03 SMILE DENTAL GROUP ARMADALE 39772829178,Medical,Smile Dental Group,18 Mar 26
17 Mar 26,-5.59,512847391,,EFTPOS DEBIT,V8213 17/03 KOORNANG RD MILK BAR CARNEGIE 25472138338,Groceries,Koornang Rd Milk Bar,18 Mar 26
17 Mar 26,-23.85,512847391,,EFTPOS DEBIT,V8213 17/03 LUNE CROISSANTERIE FITZROY 75590226894,Cafe & coffee,Lune Croissanterie,19 Mar 26
17 Mar 26,-21.95,512847391,,EFTPOS DEBIT,V8213 17/03 THE GRINDER CAFE PRAHRAN 14556246868,Cafe & coffee,The Grinder Cafe,19 Mar 26
16 Mar 26,-324.41,512847391,,EFTPOS DEBIT,V8213 16/03 JB HI-FI CHADSTONE 62912766164,Other shopping,,17 Mar 26
16 Mar 26,-46.29,512847391,,MISCELLANEOUS DEBIT,V8213 16/03 UBER *TRIP SYDNEY 13870158140,Transport,Uber,18 Mar 26
15 Mar 26,-140.85,512847391,,EFTPOS DEBIT,V8213 15/03 CHIN CHIN MELBOURNE 98580941935,Restaurants,Chin Chin,15 Mar 26
15 Mar 26,-32.5,512847391,,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 84824787882,Subscriptions,Anthropic Claude.ai,15 Mar 26
15 Mar 26,-82.91,512847391,,EFTPOS DEBIT,V8213 15/03 DAN MURPHYS GLEN IRIS 84901586314,Alcohol,Dan Murphys,16 Mar 26
15 Mar 26,-245.07,512847391,,EFTPOS DEBIT,V8213 15/03 JB HI-FI CHADSTONE 18579153155,Other shopping,Jb Hi-fi,15 Mar 26
15 Mar 26,-16.95,512847391,,EFTPOS DEBIT,V8213 15/03 SEVEN SEEDS COFFEE CARLTON 97388855897,Cafe & coffee,Seven Seeds Coffee,15 Mar 26
15 Mar 26,-21.07,512847391,,EFTPOS DEBIT,V8213 15/03 PRICELINE PHARMACY CARNEGIE 62726398170,Personal care,Priceline Pharmacy,16 Mar 26
14 Mar 26,-30.79,512847391,,EFTPOS DEBIT,V8213 14/03 UNIQLO AUSTRALIA MELBOURNE 86251091639,Clothing & accessories,Uniqlo Australia,15 Mar 26
14 Mar 26,-37.1,512847391,,EFTPOS DEBIT,V8213 14/03 PETSTOCK MOORABBIN 69315330043,Uncategorised,Petstock,14 Mar 26
14 Mar 26,-10.23,512847391,,EFTPOS DEBIT,V8213 14/03 IGA XPRESS MURRUMBEENA 83332125665,Groceries,Iga Xpress,14 Mar 26
14 Mar 26,-15.27,512847391,,EFTPOS DEBIT,V8213 14/03 CHEMIST WAREHOUSE OAKLEIGH 52752820640,Medical,,15 Mar 26
13 Mar 26,-138.92,512847391,,EFTPOS DEBIT,V8213 13/03 UNIQLO AUSTRALIA MELBOURNE 42267182013,Clothing & accessories,,14 Mar 26
13 Mar 26,-6.02,512847391,,EFTPOS DEBIT,V8213 13/03 COKE VENDING MACHINE MELBOURNE 26387116443,Uncategorised,Coke Vending Machine,13 Mar 26
12 Mar 26,-9.99,512847391,,AUTOMATIC DRAWING,PRIME VIDE* PRIMEVIDEO 67608970474,Subscriptions,Prime Primevideo,14 Mar 26
11 Mar 26,-14.54,512847391,,MISCELLANEOUS DEBIT,V8213 11/03 UBER *TRIP SYDNEY 23597017153,Transport,Uber,11 Mar 26
10 Mar 26,-94.03,512847391,,EFTPOS DEBIT,V8213 10/03 AMPOL FOODARY CLAYTON 51336721960,Fuel,Ampol Foodary,11 Mar 26
10 Mar 26,-156.1,512847391,,EFTPOS DEBIT,V8213 10/03 JB HI-FI CHADSTONE 72916067137,Other shopping,,12 Mar 26
10 Mar 26,-128.49,512847391,,EFTPOS DEBIT,V8213 10/03 PETSTOCK MOORABBIN 72681500428,Uncategorised,Petstock,10 Mar 26
09 Mar 26,-6.78,512847391,,EFTPOS DEBIT,V8213 09/03 COKE VENDING MACHINE MELBOURNE 26485157690,Uncategorised,Coke Vending Machine,10 Mar 26
09 Mar 26,-92.15,512847391,,AUTOMATIC DRAWING,AGL SALES 77870170459,Uncategorised,Agl Sales,09 Mar 26
08 Mar 26,-98.27,512847391,,EFTPOS DEBIT,V8213 08/03 AMPOL FOODARY CLAYTON 21833964902,Fuel,,09 Mar 26
08 Mar 26,-86.05,512847391,,EFTPOS DEBIT,V8213 08/03 COLES SUPERMARKET MALVERN EAST 76499030693,Groceries,,10 Mar 26
08 Mar 26,-8.76,512847391,,EFTPOS DEBIT,V8213 08/03 SEVEN SEEDS COFFEE CARLTON 39979628706,Cafe & coffee,Seven Seeds Coffee,08 Mar 26
08 Mar 26,-10.5,512847391,,EFTPOS DEBIT,V8213 08/03 PATRICIA COFFEE MELBOURNE 11050686609,Cafe & coffee,Patricia Coffee,09 Mar 26
08 Mar 26,-79.04,512847391,,EFTPOS DEBIT,V8213 08/03 CHEMIST WAREHOUSE OAKLEIGH 25654634099,Medical,Chemist Warehouse,08 Mar 26
07 Mar 26,-58.41,512847391,,MISCELLANEOUS DEBIT,V8213 07/03 MENULOG SYDNEY 84127331320,Restaurants,,08 Mar 26
07 Mar 26,-8.83,512847391,,EFTPOS DEBIT,V8213 07/03 THE GRINDER CAFE PRAHRAN 93602688641,Cafe & coffee,The Grinder Cafe,09 Mar 26
07 Mar 26,-35.3,512847391,,EFTPOS DEBIT,V8213 07/03 NIGHT OWL CONVENIENCE ELSTERNWICK 50221012048,Groceries,Night Owl Convenience,07 Mar 26
07 Mar 26,-13.99,512847391,,AUTOMATIC DRAWING,SPOTIFY AUSTRALIA 44288739057,Subscriptions,Spotify Australia,07 Mar 26
06 Mar 26,-45.28,512847391,,MISCELLANEOUS DEBIT,V8213 06/03 UBER *TRIP SYDNEY 60428783733,Transport,,06 Mar 26
05 Mar 26,-24.95,512847391,,AUTOMATIC DRAWING,GOODLIFE HEALTH CLUBS 98522186708,Gym & fitness,Goodlife Health Clubs,05 Mar 26
05 Mar 26,-68.48,512847391,,EFTPOS DEBIT,V8213 05/03 OFFICEWORKS SOUTH MELBOURNE 38912283630,Other shopping,,05 Mar 26
03 Mar 26,-25.99,512847391,,AUTOMATIC DRAWING,NETFLIX.COM 37057311790,Subscriptions,Netflix.com,04 Mar 26
02 Mar 26,-189.92,512847391,,AUTOMATIC DRAWING,MEDIBANK PRIVATE 68104868867,Uncategorised,Medibank Private,04 Mar 26
02 Mar 26,-7.37,512847391,,EFTPOS DEBIT,V8213 02/03 THE GRINDER CAFE PRAHRAN 88779042084,Cafe & coffee,The Grinder Cafe,04 Mar 26
01 Mar 26,-126.82,512847391,,EFTPOS DEBIT,V8213 01/03 SMILE DENTAL GROUP ARMADALE 43293116780,Medical,Smile Dental Group,01 Mar 26
01 Mar 26,-5.0,512847391,,FEES,ACCOUNT SERVICE FEE,Fees,,02 Mar 26
01 Mar 26,-2363.86,512847391,,AUTOMATIC DRAWING,REAL ESTATE TRUST ACCT 68645887965,Uncategorised,Real Estate Trust Acct,01 Mar 26
28 Feb 26,-37.1,512847391,,EFTPOS DEBIT,V8213 28/02 DAN MURPHYS GLEN IRIS 51593944822,Alcohol,Dan Murphys,28 Feb 26
27 Feb 26,-44.5,512847391,,EFTPOS DEBIT,V8213 27/02 HOYTS CINEMAS CHADSTONE 41562606163,Uncategorised,Hoyts Cinemas,28 Feb 26
27 Feb 26,-21.66,512847391,,MISCELLANEOUS DEBIT,V8213 27/02 UBER *TRIP SYDNEY 32089870633,Transport,Uber,28 Feb 26
27 Feb 26,-112.68,512847391,,EFTPOS DEBIT,V8213 27/02 MALVERN MEDICAL CTR MALVERN 94036866827,Medical,Malvern Medical Ctr,01 Mar 26
26 Feb 26,-63.04,512847391,,EFTPOS DEBIT,V8213 26/02 COLES SUPERMARKET MALVERN EAST 61710042368,Groceries,Coles Supermarket,27 Feb 26
25 Feb 26,-127.3,512847391,,MISCELLANEOUS DEBIT,V8213 25/02 THE ICONIC SYDNEY 91951386398,Clothing & accessories,The Iconic,26 Feb 26
24 Feb 26,-150.44,512847391,,AUTOMATIC DRAWING,ORIGIN ENERGY 53993163734,Uncategorised,Origin Energy,24 Feb 26
23 Feb 26,-55.35,512847391,,EFTPOS DEBIT,V8213 23/02 BWS LIQUOR CAULFIELD 17707322509,Alcohol,Bws Liquor,24 Feb 26
23 Feb 26,-3.75,512847391,,EFTPOS DEBIT,V8213 23/02 COKE VENDING MACHINE MELBOURNE 48013883441,Uncategorised,Coke Vending Machine,24 Feb 26
22 Feb 26,-86.26,512847391,,EFTPOS DEBIT,V8213 22/02 KMART CHADSTONE 77535825273,Other shopping,Kmart,23 Feb 26
22 Feb 26,-4.74,512847391,,EFTPOS DEBIT,V8213 22/02 KOORNANG RD MILK BAR CARNEGIE 40098169423,Groceries,Koornang Rd Milk Bar,24 Feb 26
21 Feb 26,-35.76,512847391,,EFTPOS DEBIT,V8213 21/02 NIGHT OWL CONVENIENCE ELSTERNWICK 97245055586,Groceries,Night Owl Convenience,21 Feb 26
21 Feb 26,-36.9,512847391,,EFTPOS DEBIT,V8213 21/02 WOOLWORTHS 1234 CARNEGIE 16387653078,Groceries,,21 Feb 26
21 Feb 26,-3.73,512847391,,EFTPOS DEBIT,V8213 21/02 COKE VENDING MACHINE MELBOURNE 24109156666,Uncategorised,Coke Vending Machine,21 Feb 26
21 Feb 26,-38.29,512847391,,EFTPOS DEBIT,V8213 21/02 PRICELINE PHARMACY CARNEGIE 86699520813,Personal care,Priceline Pharmacy,21 Feb 26
21 Feb 26,-84.5,512847391,,EFTPOS DEBIT,V8213 21/02 UNIQLO AUSTRALIA MELBOURNE 31693487590,Clothing & accessories,Uniqlo Australia,21 Feb 26
21 Feb 26,-31.97,512847391,,EFTPOS DEBIT,V8213 21/02 PTV MYKI TOPUP MELBOURNE 70044709926,Transport,,22 Feb 26
21 Feb 26,-29.99,512847391,,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 93685218245,Subscriptions,Adobe Creative Cloud,21 Feb 26
20 Feb 26,-422.54,512847391,,AUTOMATIC DRAWING,RACV INSURANCE 83894275245,Uncategorised,Racv Insurance,20 Feb 26
20 Feb 26,-63.2,512847391,,EFTPOS DEBIT,V8213 20/02 KMART CHADSTONE 55607225176,Other shopping,,21 Feb 26
20 Feb 26,-50.0,512847391,,ATM DEBIT,ATM WDL CARNEGIE 16119094624,Uncategorised,,20 Feb 26
19 Feb 26,-239.38,512847391,,MISCELLANEOUS DEBIT,V8213 19/02 THE ICONIC SYDNEY 11086835847,Clothing & accessories,The Iconic,21 Feb 26
18 Feb 26,-65.0,512847391,,AUTOMATIC DRAWING,TELSTRA CORPORATION 55271737981,Uncategorised,Telstra Corporation,18 Feb 26
17 Feb 26,-65.15,512847391,,EFTPOS DEBIT,V8213 17/02 ALDI STORES OAKLEIGH 87031460007,Groceries,,17 Feb 26
16 Feb 26,-75.46,512847391,,EFTPOS DEBIT,V8213 16/02 ALDI STORES OAKLEIGH 34864562821,Groceries,Aldi Stores,17 Feb 26
16 Feb 26,-51.83,512847391,,EFTPOS DEBIT,V8213 16/02 UNIQLO AUSTRALIA MELBOURNE 86051208186,Clothing & accessories,Uniqlo Australia,17 Feb 26
16 Feb 26,-86.09,512847391,,EFTPOS DEBIT,V8213 16/02 ALDI STORES OAKLEIGH 83828996567,Groceries,Aldi Stores,18 Feb 26
16 Feb 26,-6.78,512847391,,EFTPOS DEBIT,V8213 16/02 KOORNANG RD MILK BAR CARNEGIE 13750268881,Groceries,Koornang Rd Milk Bar,16 Feb 26
15 Feb 26,-78.51,512847391,,EFTPOS DEBIT,V8213 15/02 CHIN CHIN MELBOURNE 21093476247,Restaurants,Chin Chin,16 Feb 26
15 Feb 26,-32.5,512847391,,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 85277531717,Subscriptions,Anthropic Claude.ai,15 Feb 26
15 Feb 26,-26.44,512847391,,EFTPOS DEBIT,V8213 15/02 HOYTS CINEMAS CHADSTONE 61915641185,Uncategorised,Hoyts Cinemas,17 Feb 26
15 Feb 26,-92.32,512847391,,EFTPOS DEBIT,V8213 15/02 COTTON ON CHADSTONE 26081919240,Clothing & accessories,,16 Feb 26
15 Feb 26,-69.01,512847391,,EFTPOS DEBIT,V8213 15/02 ALDI STORES OAKLEIGH 96391119177,Groceries,Aldi Stores,17 Feb 26
14 Feb 26,-103.65,512847391,,EFTPOS DEBIT,V8213 14/02 BP CONNECT CHADSTONE 48381642538,Fuel,,16 Feb 26
14 Feb 26,-244.36,512847391,,EFTPOS DEBIT,V8213 14/02 SMILE DENTAL GROUP ARMADALE 57090405908,Medical,Smile Dental Group,15 Feb 26
14 Feb 26,-18.9,512847391,,MISCELLANEOUS DEBIT,V8213 14/02 DIDI MOBILITY MELBOURNE 65481117216,Transport,Didi Mobility,15 Feb 26
